Artist Name,Artist URI,Song Name,Song URI,Popularity Score,Playlist Add Date,Tuple Label Artist Name URI,Label Album,Record Label,Tuple Followers Artist Name URI,Artist Followers,Album Name,Album URI,Playlist Name,Playlist URI,Playlist Length,Playlist Followers,Playlist Song Index,Last Refresh,Artist Daily Tracks,Label Daily Tracks,Song Daily Tracks
Tauren Wells,3SKza3YPBri1k43LB1Tqy4,Like You Love Me,62ZsjsTf7MLdH0dbIAM54R,0,2020-04-17T21:33:16Z,"('Tauren Wells', '3SKza3YPBri1k43LB1Tqy4')",Famous For (I Believe) - EP,Essential Records,"('Tauren Wells', '3SKza3YPBri1k43LB1Tqy4')",367519,Famous For (I Believe) - EP,68jAPqmEltdG223tlHj7Se,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,1,6/29/2021,28,93,3
Andrew Ripp,7oAskcd3mX9ZzxMPFHYqoN,Pilots,7IbQBMmRTzr6qAasixQ9bQ,0,2020-04-17T21:33:16Z,"('Andrew Ripp', '7oAskcd3mX9ZzxMPFHYqoN')",Pilots,Andrew Ripp Music,"('Andrew Ripp', '7oAskcd3mX9ZzxMPFHYqoN')",23602,Pilots,1SE8UxCXx2pVxNBtNYJqDK,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,2,6/29/2021,11,10,1
NEEDTOBREATHE,610EjgFatGvVPtib97jQ8G,LET'S STAY HOME TONIGHT,1kiylxwnw8R8rJoCDtubWM,61,2020-06-15T21:20:58Z,"('NEEDTOBREATHE', '610EjgFatGvVPtib97jQ8G')",H A R D L O V E,Atlantic Records,"('NEEDTOBREATHE', '610EjgFatGvVPtib97jQ8G')",669123,H A R D L O V E,0DjJIQPOsxd5OiUoVskRBH,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,3,6/29/2021,23,32,1
Apollo LTD,2H3EMYFS69dhMmrX9JTkZp,You,6OW9DM0XwDzdiIlKcTuPD3,27,2020-04-17T21:33:16Z,"('Apollo LTD', '2H3EMYFS69dhMmrX9JTkZp')",You,Residence Music,"('Apollo LTD', '2H3EMYFS69dhMmrX9JTkZp')",14155,You,2mgnhYvHdQQzVOM2LDkuXU,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,4,6/29/2021,11,12,7
Colton Dixon,52oVYHQ99ORZzeig2YGo4R,Can't Quit You,1rDFKjc3N1o8REMY9jVBPh,43,2020-06-15T21:20:58Z,"('Colton Dixon', '52oVYHQ99ORZzeig2YGo4R')",Colton Dixon,Atlantic Records,"('Colton Dixon', '52oVYHQ99ORZzeig2YGo4R')",190120,Colton Dixon,3mHEOWMp4xyuH3B290E34B,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,5,6/29/2021,7,32,1
Sarah Reeves,2vGA5qCDLZGW6exRQgKfLL,Feel The Waters,67Pa5FKcb3RnFtSXmBH6IZ,0,2020-04-17T21:33:16Z,"('Sarah Reeves', '2vGA5qCDLZGW6exRQgKfLL')",Feel The Waters,Word Records,"('Sarah Reeves', '2vGA5qCDLZGW6exRQgKfLL')",70219,Feel The Waters,58RSzSjbWuVbY7Yy0Zt3vX,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,6,6/29/2021,7,14,1
for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,Pioneers,7GXTUJVO24C8UVrdocU52T,0,2020-04-17T21:33:16Z,"('for KING & COUNTRY', '3sDbKMebVH2VYcRSl7u1VC')",Pioneers,Word Records,"('for KING & COUNTRY', '3sDbKMebVH2VYcRSl7u1VC')",782378,Pioneers,0wxrQg9RpzpEJzK4Zz2Lr0,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,7,6/29/2021,22,14,1
Phil Wickham,5d1JhBfyb58upMXCZOdbQu,Till I Found You,1var9mNP1RLTlu8qVDji0F,46,2020-04-17T21:33:16Z,"('Phil Wickham', '5d1JhBfyb58upMXCZOdbQu')",Till I Found You,Fair Trade/Columbia,"('Phil Wickham', '5d1JhBfyb58upMXCZOdbQu')",455541,Till I Found You,5i8yKKrI71gqHdXxYafYAo,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,8,6/29/2021,35,82,4
Andrew Peterson,1HYNk3B7EsRPIqAOACgjK1,Dancing In The Minefields,1pDYCsbY4NkeQb8AvanZMj,46,2020-04-17T21:33:16Z,"('Andrew Peterson', '1HYNk3B7EsRPIqAOACgjK1')",Counting Stars,Centricity Music (CEY),"('Andrew Peterson', '1HYNk3B7EsRPIqAOACgjK1')",70952,Counting Stars,2nrcquoo8aHqdrZyx6kdPb,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,9,6/29/2021,6,65,1
Chris August,5ThfTvfTCfzJAEvtEI2Jf8,Gave You My Heart,0JdIj8YUpJkftN6bVbEAr2,45,2020-04-17T21:33:16Z,"('Chris August', '5ThfTvfTCfzJAEvtEI2Jf8')",Gave You My Heart,After August,"('Chris August', '5ThfTvfTCfzJAEvtEI2Jf8')",88628,Gave You My Heart,4cpZIsVR6vbHWDHnd7dAUA,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,10,6/29/2021,3,1,1
The Light the Heat,17EpO9pUubOAhnTopBgQYR,It's Our Time,4MTAzJrRxvLxCOfHWU9ZiL,0,2020-04-17T21:33:16Z,"('The Light the Heat', '17EpO9pUubOAhnTopBgQYR')",It's Our Time,The Light The Heat,"('The Light the Heat', '17EpO9pUubOAhnTopBgQYR')",10839,It's Our Time,3N59QkHMDcyqShOGyH41MD,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,11,6/29/2021,1,1,1
Tori Kelly,1vSN1fsvrzpbttOYGsliDr,Dear No One,2wWboDFZJPWXVNlHUbdSVQ,68,2020-04-17T21:33:16Z,"('Tori Kelly', '1vSN1fsvrzpbttOYGsliDr')",Foreword,Tori Kelly,"('Tori Kelly', '1vSN1fsvrzpbttOYGsliDr')",1911608,Foreword,44D28vK3JSIQ7oQNAfoeBD,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,12,6/29/2021,3,1,1
Brandon Heath,0W7wIkmxoGQbnZYn2z2sLj,Faith Hope Love Repeat,67OCXWC93GcixTk3wYvX9c,43,2020-04-17T21:33:16Z,"('Brandon Heath', '0W7wIkmxoGQbnZYn2z2sLj')",Faith Hope Love Repeat,Reunion Records,"('Brandon Heath', '0W7wIkmxoGQbnZYn2z2sLj')",252774,Faith Hope Love Repeat,4lpaCFD1YtduxtT2W1jlNb,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,13,6/29/2021,4,72,1
Ben Rector,4AapPt7H6bGH4i7chTulpI,I Will Always Be Yours,4m1lB7qJ78VPYsQy7RoBcU,55,2020-04-17T21:33:16Z,"('Ben Rector', '4AapPt7H6bGH4i7chTulpI')",Magic,OK Kid / Activist,"('Ben Rector', '4AapPt7H6bGH4i7chTulpI')",286022,Magic,1FmtmLnB1KrXjK0uWLkyhq,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,14,6/29/2021,4,2,1
Britt Nicole,6BXionV4R0BunrFpSwIMUK,Fallin In Love,6lSKrLc95qy97lCE6CXSZb,37,2020-04-17T21:33:16Z,"('Britt Nicole', '6BXionV4R0BunrFpSwIMUK')",Britt Nicole (Deluxe Edition),Capitol CMG Label Group,"('Britt Nicole', '6BXionV4R0BunrFpSwIMUK')",332004,Britt Nicole (Deluxe Edition),3fKx9rru6A6SLwit7SOoOM,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,15,6/29/2021,1,7,1
Mandisa,0YPElKYjOD1sofFCtLdYj3,Love Somebody,0MLw3p1PWOsbDMwSzV8Gw0,36,2020-04-17T21:33:16Z,"('Mandisa', '0YPElKYjOD1sofFCtLdYj3')",True Beauty,Sparrow,"('Mandisa', '0YPElKYjOD1sofFCtLdYj3')",322700,True Beauty,5UKGADu3H0tfBHo2iE38re,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,16,6/29/2021,15,23,1
Dave Barnes,7hbH1qupmU6HxVBjWJItlq,Big Ole Love,1CX3zLl6r7KJpzzO1Ckulv,0,2020-04-17T21:33:16Z,"('Dave Barnes', '7hbH1qupmU6HxVBjWJItlq')",Who Knew (Vol. 1),50 Year Plan Records,"('Dave Barnes', '7hbH1qupmU6HxVBjWJItlq')",75098,Who Knew (Vol. 1),5yStb9FTFvAkY2TJ8NKkWN,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,17,6/29/2021,2,1,1
Shane & Shane,2LFbgsbEhfilNpQYW7mied,Your Love,4gOKl65mwqty8RGiokhv3h,29,2020-04-17T21:33:16Z,"('Shane & Shane', '2LFbgsbEhfilNpQYW7mied')",The One You Need,Fair Trade/Columbia,"('Shane & Shane', '2LFbgsbEhfilNpQYW7mied')",274843,The One You Need,6QemBl6QEG7Lt9W2ALuctj,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,18,6/29/2021,16,82,3
Jason Gray,4i2mkyKkRrc0OvPrWqb4BE,With Every Act Of Love,3hSzCNU37Yfauxrdup4sxi,34,2020-04-17T21:33:16Z,"('Jason Gray', '4i2mkyKkRrc0OvPrWqb4BE')",Love Will Have The Final Word,Centricity Music (CEY),"('Jason Gray', '4i2mkyKkRrc0OvPrWqb4BE')",127195,Love Will Have The Final Word,0Caxc2aix73gGj6J0cbCjC,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,19,6/29/2021,6,65,1
Jonny Diaz,4HKCjseZVD2vG7EJG3yLwt,Thank God I Got Her,5Rv2Qybimpsp9hzFnMQBYN,47,2020-04-17T21:33:16Z,"('Jonny Diaz', '4HKCjseZVD2vG7EJG3yLwt')",Let It Fly,Centricity Music (CEY),"('Jonny Diaz', '4HKCjseZVD2vG7EJG3yLwt')",116320,Let It Fly,4ZiHyjHojgTgqlFgLABYzg,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,20,6/29/2021,1,65,1
Sarah Reeves,2vGA5qCDLZGW6exRQgKfLL,Easy,4i73TuJFEmHsvzwWwmRaWQ,0,2020-04-17T21:33:16Z,"('Sarah Reeves', '2vGA5qCDLZGW6exRQgKfLL')",Easy,Word Records,"('Sarah Reeves', '2vGA5qCDLZGW6exRQgKfLL')",70219,Easy,5jsHZ1XiLlI9MxF5Vlmse1,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,21,6/29/2021,7,14,1
LaPeer,6rPGKWFVuwuRPPuh1QitHc,Letters,0cqSEpg2nYbneh7RGNrDcp,40,2020-04-17T21:33:16Z,"('LaPeer', '6rPGKWFVuwuRPPuh1QitHc')",'90s Kids,LaPeer,"('LaPeer', '6rPGKWFVuwuRPPuh1QitHc')",3809,'90s Kids,5m0Qi0Nb6i8sQSqUu6HL69,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,22,6/29/2021,2,2,2
Moriah Peters,1w0QYx2G0ywsCClH84FcAv,I'll Wait For You,5vNQTqS0JToEWzlizaGzpy,41,2020-04-17T21:33:16Z,"('Moriah Peters', '1w0QYx2G0ywsCClH84FcAv')",Brave,Reunion Records,"('Moriah Peters', '1w0QYx2G0ywsCClH84FcAv')",66424,Brave,57VocguMCPpTbtRBPb7h0f,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,23,6/29/2021,1,72,1
Million Miles,3exZi47Gf3ZlXjKbvLp5Wm,If Only,3LJr3TanDnPqDHXWzet4Yi,38,2020-04-17T21:33:16Z,"('Million Miles', '3exZi47Gf3ZlXjKbvLp5Wm')",If Only,Noon Pacific,"('Million Miles', '3exZi47Gf3ZlXjKbvLp5Wm')",6293,If Only,5GOzSUBrOb6PaXHMQQixr2,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,24,6/29/2021,1,1,1
Antoine Bradford,1FYE37rOHOrxO1lHAQUkCl,Safe,33AwnZl99mjxjNjMIbflbH,48,2020-04-17T21:33:16Z,"('Antoine Bradford', '1FYE37rOHOrxO1lHAQUkCl')",Safe,Antoine Bradford Music.,"('Antoine Bradford', '1FYE37rOHOrxO1lHAQUkCl')",32925,Safe,3PD9s1GRpT7ahstwgF6AlX,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,25,6/29/2021,1,1,1
one sonic society,2PmYKBQgsjegT3k5C6pkqW,Love Song,3DY5GOnDQXNKP0fNXcnW2U,45,2020-04-17T21:33:16Z,"('one sonic society', '2PmYKBQgsjegT3k5C6pkqW')",Love Song,Essential Worship,"('one sonic society', '2PmYKBQgsjegT3k5C6pkqW')",36144,Love Song,5nC6gYCU6danOkYAkngJa9,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,26,6/29/2021,8,91,2
Dave Barnes,7hbH1qupmU6HxVBjWJItlq,God Gave Me You,0ZgehEjqsRScwDPdb6kWkg,0,2020-04-17T21:33:16Z,"('Dave Barnes', '7hbH1qupmU6HxVBjWJItlq')","What We Want, What We Get",Razor & Tie,"('Dave Barnes', '7hbH1qupmU6HxVBjWJItlq')",75098,"What We Want, What We Get",5KpG1hOTVrioasLt8ndJDp,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,27,6/29/2021,2,1,2
Sanctus Real,6QgOGgahvXBHEEzpjbDsOj,Commitment,0kJSz8ENF9QUcBmhBvIROi,51,2020-04-17T21:33:16Z,"('Sanctus Real', '6QgOGgahvXBHEEzpjbDsOj')",Run,Sparrow,"('Sanctus Real', '6QgOGgahvXBHEEzpjbDsOj')",230609,Run,4Uan5I5JSFb1axGS0GCZmG,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,28,6/29/2021,12,23,1
Josh Wilson,1SbnQl7KrIVnXhYcQcMjL2,What A Mystery,2FYSON92zpz3iiDAmG2IMg,37,2020-04-17T21:33:16Z,"('Josh Wilson', '1SbnQl7KrIVnXhYcQcMjL2')",Carry Me,Sparrow,"('Josh Wilson', '1SbnQl7KrIVnXhYcQcMjL2')",99044,Carry Me,4xjAeY5J7q6iHlRWEF07b0,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,29,6/29/2021,6,23,1
Green River Ordinance,6Yuow6YoiBaVPFNjZ5BQi7,Endlessly,4PLgiDjCTg1wYAVZviPEuu,16,2020-04-17T21:33:16Z,"('Green River Ordinance', '6Yuow6YoiBaVPFNjZ5BQi7')",Fifteen,Centricity Music (CEY),"('Green River Ordinance', '6Yuow6YoiBaVPFNjZ5BQi7')",43513,Fifteen,7ho1Z2MT3OIDAXJTifZrzv,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,30,6/29/2021,1,65,1
Riley Clemmons,7yZC6AEhvCD5NFR8yDUxCG,Fighting For Me,5StojELSdCvj23qhF9OxDW,57,2020-04-17T21:33:16Z,"('Riley Clemmons', '7yZC6AEhvCD5NFR8yDUxCG')",Fighting For Me,Sparrow (SPR),"('Riley Clemmons', '7yZC6AEhvCD5NFR8yDUxCG')",93549,Fighting For Me,47d2vWvqayOsNeFeRI43ba,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,31,6/29/2021,22,187,3
JJ Heller,7dq8KEwf0kQXJhM79iwcPh,Love Letter,3vVRe4hWXAhC7Q5NNVvqPc,47,2020-04-17T21:33:16Z,"('JJ Heller', '7dq8KEwf0kQXJhM79iwcPh')",Love Letter,Stone Table Records,"('JJ Heller', '7dq8KEwf0kQXJhM79iwcPh')",83491,Love Letter,3xN0nvkOFcvxlT2LeyxtDd,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,32,6/29/2021,4,3,1
Ben Rector,4AapPt7H6bGH4i7chTulpI,Forever Like That,5Jq4WWh3EKkxRfwAHiAMcS,0,2020-04-17T21:33:16Z,"('Ben Rector', '4AapPt7H6bGH4i7chTulpI')",The Walking in Between,Aptly Named Recordings/ROAR,"('Ben Rector', '4AapPt7H6bGH4i7chTulpI')",286022,The Walking in Between,66AxyK2y4ZugyEFc4IXsWu,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,33,6/29/2021,4,1,1
Josh and Amberley Klinkenberg,2cVwMMg1veINODAPNT4RIP,I Love You,7zLrZg50t25YSwU1iDskbQ,34,2020-04-17T21:33:16Z,"('Josh and Amberley Klinkenberg', '2cVwMMg1veINODAPNT4RIP')",Our Love,Jesus Culture,"('Josh and Amberley Klinkenberg', '2cVwMMg1veINODAPNT4RIP')",488,Our Love,0ntZH4kGvUW9WvCbCNTw1r,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,34,6/29/2021,1,72,1
Chris Rice,0vD3f3r69jBB1bL6VWnGM2,Lemonade,11S5G8taDSpsUiGYP4lKxm,33,2020-04-17T21:33:16Z,"('Chris Rice', '0vD3f3r69jBB1bL6VWnGM2')",What a Heart Is Beating For,Fair Trade Services,"('Chris Rice', '0vD3f3r69jBB1bL6VWnGM2')",76630,What a Heart Is Beating For,4lFRCkeRRBG4nnzmeckIyU,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,35,6/29/2021,7,34,1
Selah,5dZiRoY9Vpp6qrxqXNRwPE,Bless The Broken Road,07M8OzJz2u11i4PeXs0iKu,0,2020-04-17T21:33:16Z,"('Selah', '5dZiRoY9Vpp6qrxqXNRwPE')",Bless The Broken Road (The Duets Album),Curb Records,"('Selah', '5dZiRoY9Vpp6qrxqXNRwPE')",107428,Bless The Broken Road (The Duets Album),4hzXCIFqlFGPbgeNoiD05G,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,36,6/29/2021,9,20,2
Brandon Heath,0W7wIkmxoGQbnZYn2z2sLj,Girl of My Dreams,2Ar2dRIzmucQyL6xjYiCYo,52,2020-04-17T21:33:16Z,"('Brandon Heath', '0W7wIkmxoGQbnZYn2z2sLj')",No Turning Back,Reunion Records,"('Brandon Heath', '0W7wIkmxoGQbnZYn2z2sLj')",252774,No Turning Back,5OhwoQcGjoHpX46cVyuOUh,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,37,6/29/2021,4,72,1
Danny Gokey,5Yu3b48Y29bZlI1cLPOZJz,Pretty Beautiful,7FnhlEhknrA1qjMMlzJ69z,0,2020-04-17T21:33:16Z,"('Danny Gokey', '5Yu3b48Y29bZlI1cLPOZJz')",Hope in Front of Me,BMG Rights Management,"('Danny Gokey', '5Yu3b48Y29bZlI1cLPOZJz')",244238,Hope in Front of Me,7fY3WG6Ae45UiPbFYPDYCX,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,38,6/29/2021,13,1,1
Tommee Profitt,73jlPRxT7z5xk29sMqFDjU,Can't Help Falling In Love - LIGHT,07vX2XhvGzxkHTaQ141AbB,0,2020-04-17T21:33:16Z,"('Tommee Profitt', '73jlPRxT7z5xk29sMqFDjU')",Can't Help Falling In Love,Tommee Profitt Studios,"('Tommee Profitt', '73jlPRxT7z5xk29sMqFDjU')",122447,Can't Help Falling In Love,3O70Kh0BAydzBQAZXpxJ7Y,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,39,6/29/2021,2,1,1
GAWVI,0oPd8f0W82Tgrazx2PYNab,With You,2OEnuXApFl7zqqbUY69RdH,47,2020-04-17T21:33:16Z,"('GAWVI', '0oPd8f0W82Tgrazx2PYNab')",PANORAMA,Reach Records,"('GAWVI', '0oPd8f0W82Tgrazx2PYNab')",152023,PANORAMA,7wD8rF1uNrehwaVoPgQn33,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,40,6/29/2021,8,44,1
Sixpence None The Richer,0lJlKQvuM2Sd9DPPyUXcHg,Kiss Me,754kgU5rWscRTfvlsuEwFp,76,2020-04-17T21:33:16Z,"('Sixpence None The Richer', '0lJlKQvuM2Sd9DPPyUXcHg')",Sixpence None the Richer,Word Entertainment,"('Sixpence None The Richer', '0lJlKQvuM2Sd9DPPyUXcHg')",330467,Sixpence None the Richer,0PrcwzkQVEy4y6JPvT5bix,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,41,6/29/2021,3,2,2
Plumb,2tbxcCCM7A71cmkzuB8lyH,Don't Deserve You,1TRibL6UoaiU3yEdqCQbgx,43,2020-04-17T21:33:16Z,"('Plumb', '2tbxcCCM7A71cmkzuB8lyH')",Need You Now,Curb Records,"('Plumb', '2tbxcCCM7A71cmkzuB8lyH')",155917,Need You Now,2AwrSABuCbL70654kGQ1so,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,42,6/29/2021,4,20,1
Steven Curtis Chapman,3vcFXwLEUdfWMu7gTQKyot,We Will Dance,1vvKpTt15DT2xWA6mNcF6o,43,2020-04-17T21:33:16Z,"('Steven Curtis Chapman', '3vcFXwLEUdfWMu7gTQKyot')",All About Love,Sparrow,"('Steven Curtis Chapman', '3vcFXwLEUdfWMu7gTQKyot')",304110,All About Love,0GtzQXs1ecJK73NsRXfXAM,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,43,6/29/2021,6,23,1
Boyce Avenue,7CQwac16i1W5ej8YpuL3dv,Beautiful Soul,4gxT7DX1NVig7cnQBhSmiM,0,2020-04-17T21:33:16Z,"('Boyce Avenue', '7CQwac16i1W5ej8YpuL3dv')","Cover Sessions, Vol. 2",3 Peace Records,"('Boyce Avenue', '7CQwac16i1W5ej8YpuL3dv')",2758271,"Cover Sessions, Vol. 2",4TLmOaKZJL0Hk6KBd2c8Jj,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,44,6/29/2021,1,1,1
JJ Heller,7dq8KEwf0kQXJhM79iwcPh,Meant to Be,2YGu3QpHqj5AHtS8RzFQdW,56,2020-04-17T21:33:16Z,"('JJ Heller', '7dq8KEwf0kQXJhM79iwcPh')",Meant to Be,Stone Table Records,"('JJ Heller', '7dq8KEwf0kQXJhM79iwcPh')",83491,Meant to Be,1SC4K6OlwiX7QGUfdBHneY,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,45,6/29/2021,4,3,1
John Tibbs,4Wm66SItUBLYFqJq03WH6d,Midwest Magic,3NDDJKePW2oFn9mP2JWyo6,38,2020-04-17T21:33:16Z,"('John Tibbs', '4Wm66SItUBLYFqJq03WH6d')",Heartland,John Tibbs,"('John Tibbs', '4Wm66SItUBLYFqJq03WH6d')",5298,Heartland,10INpN8kO8dltcAhRMDO0d,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,46,6/29/2021,3,1,1
Matt Hammitt,0o77vi5tCsW348tzvdjNPw,All Of Me,40WDnUnzQL4XTo81vUJlKt,42,2020-04-17T21:33:16Z,"('Matt Hammitt', '0o77vi5tCsW348tzvdjNPw')",Every Falling Tear,Sparrow,"('Matt Hammitt', '0o77vi5tCsW348tzvdjNPw')",14970,Every Falling Tear,57KfddAY3ffu3A3F7M5b0h,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,47,6/29/2021,3,23,1
Jon Foreman,5D3h9ZoobhetjXw3dKhcaq,Your Love Is Strong,2VlvH2VwDr68KoSRp7CIDi,0,2020-04-17T21:33:16Z,"('Jon Foreman', '5D3h9ZoobhetjXw3dKhcaq')",Spring,Credential Recordings,"('Jon Foreman', '5D3h9ZoobhetjXw3dKhcaq')",115156,Spring,24UdhWRYdiCx5SwjgFpqlg,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,48,6/29/2021,5,3,2
Josh Wilson,1SbnQl7KrIVnXhYcQcMjL2,Let Me Love You,6tjDAG0A92Xyb7M0612fjn,32,2020-04-17T21:33:16Z,"('Josh Wilson', '1SbnQl7KrIVnXhYcQcMjL2')",Josh Wilson,Sparrow,"('Josh Wilson', '1SbnQl7KrIVnXhYcQcMjL2')",99044,Josh Wilson,4egEbjr9keEfncjr8dTd33,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,49,6/29/2021,6,23,1
Chris Tomlin,6pRi6EIPXz4QJEOEsBaA0m,Unfailing Love,7CdKRgZiFWgMWDIbbFURZA,34,2020-04-17T21:33:16Z,"('Various Artists', '0LyfQWJT6nXafLPZqxe9Of')",The Ultimate Collection: Love Songs,Sparrow (SPR),"('Chris Tomlin', '6pRi6EIPXz4QJEOEsBaA0m')",1390204,The Ultimate Collection: Love Songs,0lYU6ZXAFCW6OA8N8v3xRX,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,50,6/29/2021,53,187,1
Chris August,5ThfTvfTCfzJAEvtEI2Jf8,Loving You Is Easy,0DAsVgknn6x7mIxSFZmb8Y,0,2020-04-17T21:33:16Z,"('Chris August', '5ThfTvfTCfzJAEvtEI2Jf8')",No Far Away (Deluxe Edition),Fervent Records/Word,"('Chris August', '5ThfTvfTCfzJAEvtEI2Jf8')",88628,No Far Away (Deluxe Edition),0ykkM1g0LTI6THdyfoclv0,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,51,6/29/2021,3,8,1
for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,Hold Her,2RxEX1W0GSQRcQEmwut9OA,54,2020-04-17T21:33:16Z,"('for KING & COUNTRY', '3sDbKMebVH2VYcRSl7u1VC')",Burn The Ships,Curb | Word,"('for KING & COUNTRY', '3sDbKMebVH2VYcRSl7u1VC')",782378,Burn The Ships,5eDLHSsctG7CccVeYSTLeh,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,52,6/29/2021,22,63,1
Steven Curtis Chapman,3vcFXwLEUdfWMu7gTQKyot,Cinderella,1oj4KLsbYhvfHFnhdb3twP,58,2020-04-17T21:33:16Z,"('Steven Curtis Chapman', '3vcFXwLEUdfWMu7gTQKyot')",This Moment (Cinderella Edition),Sparrow,"('Steven Curtis Chapman', '3vcFXwLEUdfWMu7gTQKyot')",304110,This Moment (Cinderella Edition),7HAomGpaAjuPCEbuMevOlP,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,53,6/29/2021,6,23,1
Dan Bremnes,235ZVf4thM2FFfyE4ACwB3,Going Together,0TKgyNeh6qCZ2RPnfMPpzR,0,2020-04-17T21:33:16Z,"('Dan Bremnes', '235ZVf4thM2FFfyE4ACwB3')",Going Together,Fervent Records,"('Dan Bremnes', '235ZVf4thM2FFfyE4ACwB3')",26003,Going Together,0CMGTIcvtK2aAywGHxQr57,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,54,6/29/2021,5,10,1
Casting Crowns,6eJqAWJdd8JhAN1pQGie4r,Angel,7qO1aodqqumMLHFybn0AvP,37,2020-04-17T21:33:16Z,"('Casting Crowns', '6eJqAWJdd8JhAN1pQGie4r')",Come To The Well,Reunion Records,"('Casting Crowns', '6eJqAWJdd8JhAN1pQGie4r')",1388568,Come To The Well,6PU9khplTO06aCcMBkoGze,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,55,6/29/2021,24,72,1
Switchfoot,6S58b0fr8TkWrEHOH4tRVu,YOU'RE THE ONE I WANT,5fK3vohIJQ0BFQglpPapfZ,37,2020-04-17T21:33:16Z,"('Switchfoot', '6S58b0fr8TkWrEHOH4tRVu')",NATIVE TONGUE,Fantasy,"('Switchfoot', '6S58b0fr8TkWrEHOH4tRVu')",577048,NATIVE TONGUE,2fxJMrLJLQzKNOmpCwJcqc,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,56,6/29/2021,12,6,1
for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,Priceless,7BTmtN6bP35E54vVASTqao,57,2020-04-17T21:33:16Z,"('for KING & COUNTRY', '3sDbKMebVH2VYcRSl7u1VC')",RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition),Fervent Records,"('for KING & COUNTRY', '3sDbKMebVH2VYcRSl7u1VC')",782378,RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition),3JgsuH1i4ddVP4Ke5zf87I,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,57,6/29/2021,22,10,1
