Artist Name,Artist URI,Song Name,Song URI,Popularity Score,Playlist Add Date,Tuple Label Artist Name URI,Label Album,Record Label,Tuple Followers Artist Name URI,Artist Followers,Album Name,Album URI,Playlist Name,Playlist URI,Playlist Length,Playlist Followers,Playlist Song Index,Last Refresh,Artist Daily Tracks,Label Daily Tracks,Song Daily Tracks
Apollo LTD,2H3EMYFS69dhMmrX9JTkZp,Good Day (feat. Social Club Misfits),382CUuS56h9lajPb215LuP,40,2021-06-12T03:57:32Z,"('Apollo LTD', '2H3EMYFS69dhMmrX9JTkZp')",Good Day,Residence Music,"('Apollo LTD', '2H3EMYFS69dhMmrX9JTkZp')",14155,Good Day,4YkSOIrrw4jBfs53MAvbu8,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,35,6/29/2021,11,12,1
Branan Murphy,3dM3K6fpZECycMPbTXqGNo,I Will Wait,62sxM2Uha39CysCoVcoGKT,39,2021-06-12T03:57:32Z,"('Branan Murphy', '3dM3K6fpZECycMPbTXqGNo')",I Will Wait,Paravel Records / DREAM Records,"('Branan Murphy', '3dM3K6fpZECycMPbTXqGNo')",12737,I Will Wait,4tOoPNp8aBjo696qCtaxFk,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,36,6/29/2021,2,2,1
TobyMac,5VX8hxrcfJWwaTLiqGUHG3,Scars (Come With Livin') - Neon Feather Remix,0shptsB4Efvi4T5zNKjeuO,38,2021-06-12T03:57:32Z,"('TobyMac', '5VX8hxrcfJWwaTLiqGUHG3')",The St. Nemele Collab Sessions,Forefront (FRF),"('TobyMac', '5VX8hxrcfJWwaTLiqGUHG3')",965566,The St. Nemele Collab Sessions,6HbrhmZ9osGyiKjUFDxQGJ,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,37,6/29/2021,13,16,1
Matthew Parker,0QT3cPPXMGYtTG3kN8Ez54,Breathe,2WpZBx0ajYCNnv2EXwNnOA,31,2021-06-12T03:57:32Z,"('Matthew Parker', '0QT3cPPXMGYtTG3kN8Ez54')",Breathe,Dream Records (DRE),"('Matthew Parker', '0QT3cPPXMGYtTG3kN8Ez54')",26430,Breathe,3fJXmLyfziwzMKkcdgMaqk,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,38,6/29/2021,3,17,6
ELEVATION RHYTHM,0qZ8aSF0iMCQI99AAXikF8,HEARTBEAT,5uiQHTNins7Q4g971dBteD,42,2021-06-12T03:57:32Z,"('ELEVATION RHYTHM', '0qZ8aSF0iMCQI99AAXikF8')",HEARTBEAT,Elevation Worship Records,"('ELEVATION RHYTHM', '0qZ8aSF0iMCQI99AAXikF8')",31841,HEARTBEAT,43pPjFLwb4YLAN28HbcZQE,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,39,6/29/2021,11,74,1
SEU Worship,7M7UXUwtz3Wb25PVS8dwHs,Dancing at Dusk,1Lj6LnLMSFZv8ik24ssMpO,31,2021-06-12T03:57:32Z,"('SEU Worship', '7M7UXUwtz3Wb25PVS8dwHs')",Clouds Are Clearing: Mixtape 1A,Essential Worship,"('SEU Worship', '7M7UXUwtz3Wb25PVS8dwHs')",42553,Clouds Are Clearing: Mixtape 1A,3saIlADNT5151AhQnPxEIQ,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,40,6/29/2021,12,91,1
Riley Clemmons,7yZC6AEhvCD5NFR8yDUxCG,Healing,4EKTLzgEPHij7hKpqjuZH5,48,2021-06-12T03:57:32Z,"('Riley Clemmons', '7yZC6AEhvCD5NFR8yDUxCG')",Healing,Sparrow (SPR),"('Riley Clemmons', '7yZC6AEhvCD5NFR8yDUxCG')",93549,Healing,6ptypNaGR4S2XJOPvrXKtY,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,41,6/29/2021,22,187,2
Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,Together In This - From The Jungle Beat Motion Picture,0x9p2PjS0t9DbwqK4vgtWR,42,2021-06-12T03:57:32Z,"('Natasha Bedingfield', '7o95ZoZt5ZYn31e9z1Hc0a')",Together In This (From The Jungle Beat Motion Picture),Starboard,"('Natasha Bedingfield', '7o95ZoZt5ZYn31e9z1Hc0a')",1240129,Together In This (From The Jungle Beat Motion Picture),4wsn49kPVdAGxM1GnCVlEt,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,42,6/29/2021,1,1,1
Youngheart,4Sws10KYj3cK2OCWweGv75,You Tell Me,18tCFWknS0gTJBBRLCuI0T,35,2021-06-12T03:57:32Z,"('Youngheart', '4Sws10KYj3cK2OCWweGv75')",You Tell Me,YoungHeart,"('Youngheart', '4Sws10KYj3cK2OCWweGv75')",1659,You Tell Me,4RXdxAM1qZd91aLI3o6H9q,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,43,6/29/2021,3,2,2
Verses,37Rqopn1vLADPjy3kxp2bb,Letting Go,3tPJHHygrSqPgZPoAxON8B,40,2021-06-12T03:57:32Z,"('Verses', '37Rqopn1vLADPjy3kxp2bb')",Letting Go,Social Records,"('Verses', '37Rqopn1vLADPjy3kxp2bb')",5226,Letting Go,3UOCEOeOpQEcLithw3QCF8,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,44,6/29/2021,4,2,1
